text,media,label
"JAKARTA, KOMPAS.com - Pemilihan Kepala Daerah (Pilkada) 2024 secara serentak bakal berlangsung pada 27 November 2024.

Total ada 545 daerah di Indonesia yang akan melaksanakan Pilkada 2024 serentak, rinciannya adalah 37 provinsi, 415 kabupaten, dan 93 kota.

Dari jumlah tersebut, Jakarta, Bogor, Depok, Tangerang, dan Bekasi (Jabodetabek) masuk dalam perhelatan Pilkada 2024.

Baca juga: Gerindra Godok Kader Internal untuk Maju Pilkada DKI, Nama-nama Masih Dirahasiakan

Untuk Pilkada 2024 di Jabodetabek, terdapat sejumlah nama yang menjadi bakal calon kepala daerah lewat sejumlah partai politik.

Berikut ini adalah sejumlah nama yang menjadi bakal calon kepala daerah dalam Pilkada 2024 di Jabodetabek.

Bursa Pilkada DKI Jakarta

1. Ahmed Zaki (Golkar)

Ketua DPD Partai Golkar DKI Jakarta Ahmed Zaki Iskandar mengaku telah menerima mandat untuk menjadi bakal calon gubernur DKI dalam Pilkada 2024.

""Sementara memang mandat dari Partai Golkar untuk sebagai bakal calon gubernur DKI Jakarta sudah diterima. Dan selebihnya saya serahkan kepada DPP Partai Golkar,"" ujar Zaki dalam wawancara dengan Kompas.com pada Rabu (21/2/2024).

Zaki mengaku siap untuk maju sebagai bakal calon orang nomor satu di DKI Jakarta.

""Kalau bicara kesiapan, sebagai kader partai, saya harus siap terus,"" kata Zaki.

Baca juga: Golkar Tugaskan 3 Nama untuk Pilkada DKI, Airlangga: Kita Lihat Survei Terakhir

2. Ridwan Kamil dan Erwin Aksa (Golkar)

Selain Ahmed Zaki, Golkar juga punya dua nama lain untuk menjadi bakal calon gubernur DKI Jakarta, yakni Ridwan Kamil dan Erwin Aksa.

Hal tersebut disampaikan Ahmed Zaki saat dikonfirmasi wartawan usai menghadiri pengarahan bagi bakal calon kepala daerah dan bakal calon wakil kepala daerah di Kantor DPP Golkar, Jakarta Barat, Sabtu (6/4/2024).

""(Selain saya) ada Pak Ridwan Kamil, Pak Erwin Aksa. Hanya tiga (bakal calon gubernur DKI Jakarta dari Golkar),"" ujar Zaki.

Bursa Pilkada Bogor

1. M Rusli Prihatevy (Golkar)

Dewan Pimpinan Daerah (DPD) Partai Golkar Jawa Barat resmi mengusung Ketua DPD Partai Golkar Kota Bogor M Rusli Prihatevy sebagai bakal calon wali kota Bogor dalam Pilkada 2024.

Hal ini dibenarkan oleh Rusli sendiri. Ia menyatakan bahwa dirinya merupakan satu-satunya nama yang diusung Golkar untuk Pemilihan Wali Kota (Pilwalkot) Bogor 2024.

Baca juga: Partai Golkar Usung Rusli Prihatevy Jadi Calon Wali Kota Bogor

“Secara perjalanan memang betul. Ketua DPD Provinsi Jawa Barat sudah mendeklarasikan dan menyampaikan bahwa hanya satu nama, nama saya sendiri tidak ada nama yang lain,” ucap Rusli saat ditemui Kompas.com, Rabu (17/4/2024).",kompas,politik
"JAKARTA, KOMPAS.com - Polisi masih memeriksa kejiwaan A (42), seorang anak yang membacok ibunya berinisial L (62), di Cengkareng, Jakarta Barat.

Kapolsek Cengkareng Kompol Hasoloan Situmorang mengaku sudah mengirim surat ke RS Polri terkait pemeriksaan kejiwaan terhadap A.

""Kami sudah bersurat ke RS polri,"" ucap Hasoloan saat ditemui, Selasa (23/4/2024).

Baca juga: Gara-gara Ponsel, Anak di Cengkareng Tega Bacok Ibu Kandungnya

Apabila hasil pemeriksaan kejiwaan A sudah keluar dari RS Polri, penyidik langsung melanjutkan pemeriksaan terhadap pelaku.

""Sementara pelaku masih kami tahan,"" tutur dia.

Menurut Hasoloan, A terbukti menggunakan sabu. Hasil pemeriksaan itu keluar pada minggu lalu.

Diberitakan sebelumnya, A membacok ibunya karena sempat protes soal permasalahan ponsel.

Menurut Hasoloan, percekcokan ibu dan anak itu dipicu karena hilangnya ponsel milik salah satu anggota keluarga yang dipinjam pelaku.

""Ada percekcokan antara pelaku dan korban. HP yang dipinjam pelaku hilang. HP tersebut milik dari saudara korban,"" kata dia.

Baca juga: Anak yang Aniaya Ibu Kandung di Cengkareng Ditetapkan Jadi Tersangka

Kala itu, A tak terima ibunya menagih ponsel yang hilang tersebut. Alhasil, pelaku yang naik pitam membacok sang ibu menggunakan pisau.

""Dia marah HP tersebut ditagih (untuk dikembalikan). Hp tersebut dipinjam pelaku, namun ketika ditanya ibunya HP sudah hilang,"" kata Hasoloan.

Dia menyebut, A kini telah ditetapkan sebagai tersangka.

Pelaku dijerat dengan Pasal 44 Undang-Undang Nomor 23 Tahun 2004 tentang Penghapusan Kekerasan Dalam Rumah Tangga (KDRT).

""(Terancam pidana penjara) lima tahun,"" imbuhnya.

Baca juga: Anak yang Bacok Ibu di Cengkareng Positif Konsumsi Narkoba",kompas,politik
"JAKARTA, KOMPAS.com - Agusmita (27) kini menjadi tersangka atas kasus tewasnya wanita hamil berinisial RN (34).

Dia terbukti merampas ponsel milik RN saat kekasihnya itu sedang pendarahan di salah satu ruko Jalan Boulevard Raya, Kelapa Gading, Jakarta Utara, Sabtu (20/4/2024).

""Saudara A mengambil paksa barang RN berupa HP (handphone/ponsel) dari penguasaan korban,"" ucap Kepala Kepolisian Resor (Kepala Kapolres) Jakarta Utara, Komisaris Besar (Kombes) Gidion Arif Setyawan di lokasi kejadian pada Selasa, (23/4/2024).

Bukannya menolong RN, Agusmita justru merampas ponsel itu saat korban sedang kesakitan karena pendarahan yang disebabkan upaya aborsi.

Baca juga: Tanda Tanya Tewasnya Wanita Hamil di Ruko Kelapa Gading...

Agusmita kemudian membawa HP milik RN dalam pelarian ke kampung halamannya di Lampung.

Di satu sisi, dengan dibawa kaburnya HP milik RN, hal ini menjadi petunjuk polisi untuk mengetahui keberadaan Agusmita secara mudah.

""Shingga dilakukan penulusuran dan dapat dilakukan penangkapan terhadap A,"" kata Gidion.

Kurang dari 24 jam setelah kejadian, Agusmita langsung diringkus polisi di kediamannya di Lampung.

Saat diringkus pihak kepolisian, Agusmita merasa kaget karena kekasihnya meninggal dunia usai ia tinggalkan.

Baca juga: Wanita Hamil di Kelapa Gading Bukan Dibunuh Kekasih, tapi Tewas Saat Berupaya Menggugurkan Janinnya

Diberitakan sebelumnya, Agusmita dan RN datang ke Jakarta untuk menutupi hubungan mereka dari keluarga.

Agusmita juga sempat memberikan uang sebesar Rp 300.000 untuk RN menggugurkan kandungannya.

Sampai detik ini, polisi masih terus mendalami apa saja upaya aborsi yang dilakukan RN.

Pasalnya, upaya aborsi ini sudah dilakukan RN sejak masih berada di kampung halamannya di Lampung.

RN sendiri ditemukan tewas dalam keadaan telentang tanpa busana lengkap.

Baca juga: Wanita Hamil yang Tewas di Kelapa Gading Ditinggal Kekasih Saat Pendarahan

Saksi berinisial R yang merupakan teman kerja korban dan Agusmita itu lah yang pertama kali melihat RN tergeletak di lantai dengan kondisi kamar terkunci.

Saat itu, Agusmita sudah meninggalkan ruko dan tidak ketemu saat dicari. Akhirnya, R melaporkan kejadian itu ke sekuriti yang tengah berjaga.

R dan sekuriti itu pun langsung melaporkan kondisi RN ke pihak kepolisian Kelapa Gading, Jakarta Utara.

Baca juga: Wanita Hamil Tewas di Kelapa Gading, Kekasih Jadi Tersangka",kompas,politik
"JAKARTA, KOMPAS.com - Presiden Partai Keadilan Sejahtera (PKS) Ahmad Syaikhu meminta Anies Baswedan untuk mendukung kader PKS yang akan maju dalam pemilihan gubernur Daerah Khusus Jakarta.

Hal itu disampaikan Ahmad Syakhu langsung di depan Anies saat konferensi pers di Kantor DPP PKS, Selasa (23/4/2024).

""Mungkin ke depan, kalau kemarin kami sudah berusaha mengusung Pak Anies dan bekerja sekuat tenaga untuk memenangkan Pak Anies sebagai capres, saya kira di pilkada ini saatnya Pak Anies mendukung kader PKS untuk maju,"" kata dia.

Baca juga: Penetapan Prabowo-Gibran Besok, KPU Undang Anies-Muhaimin dan Ganjar-Mahfud

Syaikhu juga menegaskan, PKS tidak akan mengusung Anies sebagai calon gubernur Jakarta.

Sebab, menurut Syaikhu, Anies sudah menjadi tokoh nasional yang sangat disayangkan jika kembali turun menjadi tokoh daerah.

""Saya kira Beliau adalah sudah menjadi tokoh nasional jadi jangan didegradasi kembali sebagai tokoh daerah, jadi sangat sayang kita akan terus berusaha jadikan Pak Anies sebagai tokoh nasional,"" ucap Syakhu.



Selain itu, Syaikhu menyebut PKS belum mengambil langkah ke depan, apakah akan menjadi oposisi dalam pemerintahan Prabowo-Gibran atau masuk sebagai koalisi.

Baca juga: Amanat Majelis Syura Gulirkan Hak Angket di DPR, Presiden PKS Sebut Lihat Realitanya

Kebijakan strategis masa depan PKS, kata dia, akan diputuskan melalui Badan Pekerja Majelis Syuro.

""Saya sebagai pelaksana akan menjalankan apa pun keputusan Majelis Syuro, tapi yakinlah sikap kirits PKS akan kita jaga sebagai bagian untuk meluruskan dari proses perjalanan yang memang perlu diingatkan,"" ucap Syaikhu.",kompas,politik
"KOMPAS.com - Presiden Joko Widodo (Jokowi) dijadwalkan bakal menghadiri puncak peringatan Hari Otonomi Daerah (Otoda) yang akan digelar di Balai Kota Surabaya, Kamis (25/4/2024).

Plt Kepala Dinas Komunikasi dan Informatika (Diskominfo) Surabaya, M Fikser mengatakan, informasi itu didapatkanya dari Direktorat Evaluasi Kinerja dan Peningkatan Kapasitas Daerah Direktorat Jenderal Otonomi Daerah Kementerian Dalam Negeri (Kemendagri).

""Puncak Peringatan Hari Otonomi Daerah direncanakan akan dihadiri pula oleh Bapak Presiden Republik Indonesia (Jokowi),"" kata Fikser ketika dikonfirmasi melalui pesan, Selasa (23/4/2024).

Baca juga: Soal RUU DKJ, Ganjar: Kalau Konsisten dengan Otonomi Daerah, Gubernur Dipilih Rakyat!

""Beliau sekaligus akan menyematkan tanda kehormatan Satyalancana Karya Bhakti Praja Nugraha ke kepala daerah berprestasi berdasarkan hasil EPPD Tahun 2022 terhadap LPPD Tahun 2021,"" tambahnya.

Fikser mengungkapkan, akan ada sejumlah acara dalam agenda Hari Otonomi Daerah XXVIII Tahun 2024, tersebut. Salah satunya, upacara yang rencananya digelar di area Balai Kota Surabaya.

""Setelah upacara, rangkaian acara kemudian dilanjutkan dengan Pawai Seni Budaya dan kunjungan ke Mall Pelayanan Publik (MPP) Pemkot Surabaya,"" jelasnya.

Selain Jokowi, kata Fikser, sejumlah petinggi lain yang diundang dalam acara puncak peringatan Hari Otoda Nasional 2024 tersebut adalah, gubernur dan bupati/wali kota se-Indonesia.

Baca juga: Mendagri Harap Optimalisasi Pelaksanaan Otonomi Daerah Terwujud

Kemudian, para menteri serta kepala badan dari kementerian atau lembaga pemerintahan non kementerian (LPNK), khususnya anggota tim nasional EPPD juga turut diundang dalam kegiatan itu.

Kemudian, agenda itu juga mengundang pejabat eselon I di lingkup kemendagri dan BNPP, pejabat eselon II di lingkup sekretariat jenderal kemendagri dan ditjen otonomi daerah, serta Forkopimda Jatim dan Surabaya.",kompas,politik
"Sebanyak 180 jenazah ditemukan dikubur secara massal di halaman Rumah Sakit Nasser, yang ditinggalkan tentara Israel, setelah serangan ke Khan Younis, Gaza selatan.

Badan Pertahanan Sipil Palestina di Jalur Gaza, sepanjang Sabtu-Minggu (20-21/4/2024), menemukan kuburan massal itu di halaman rumah sakit tersebut. Jenazah yang ditemukan kebanyakan adalah perempuan dan anak-anak. Kompleks rumah sakit tersebut ditinggalkan tentara Israel yang mulai ditarik mundur pada 7 April 2024.

Sebagian besar kota Khan Younis kini tinggal puing-puing setelah dibombardir Israel selama enam bulan lebih.

Simak selengkapnya dalam video berikut.

Penulis Naskah: Adinda Septia Berliana

Narator: Adinda Septia Berliana

Video Editor: Dimas Septian Adiyathama

Produser: Sherly Puspita

Musik: Medieval Astrology - Underbelly & Ty Mayer

#KhanYounis #Gaza #Palestina #Israel #JernihMelihatDunia",kompas,politik
"Mama Maria Mamu (64) yang sudah 36 tahun menderita sakit gondok menitikkan air mata saat menerima donasi dari Sahabat Kompas.com.

Momen penyerahan donasi itu dilakukan pada Minggu (21/4/2024), bertepatan dengan peringatan Hari Kartini 2024.

Mama Maria Mamu yang tak menyangka diberi donasi dari Kompas.com turut berterima kasih, serta mendoakan para donatur yang bersedia membantunya berjuang melawan penyakitnya.

Kini, Mama Maria Mamu telah menjalani operasi gondok dengan lancar dan sedang menjalani proses pemulihan pascaoperasi.

Simak selengkapnya dalam video berikut.





Video Jurnalis: Markus Makur



Penulis: Markus Makur

Penulis Naskah: Muhammad Dava Arrifa

Narator: Muhammad Dava Arrifa

Video Editor: Tri Febrianto Gunawan

Produser: Abba Gabrillin

Musik: Limousines - TrackTribe

#MamaMariaMamu #NTT #donasi #JernihkanHarapan",kompas,politik
"Pierre, pengendara Fortuner arogan yang menggunakan pelat TNI palsu terancam hukuman penjara enam tahun. Pierre ditetapkan menjadi tersangka usai video percekcokannya dengan pengendara lain di Tol Jakarta-Cikampek viral di media sosial.





Host: Nabila Ramadhian

Videographer: Nurul Aulia

Produser: Akhdi Martin Pratama





/ #DudukPerkara #PelatNomor #JalanTol #Jakarta #Cikampek #JernihMelihatDunia",kompas,politik
"Beredar video dengan narasi bahwa sistem pertahanan udara Iran menjatuhkan pesawat tempur F-35 Israel.

Lantas, bagaimana faktanya? Simak penjelasan selengkapnya dalam video berikut ini.



Penulis Naskah: Tim Cek Fakta Kompas.com

Video Editor: Angelica Sekar Ratnaningrum

Produser: Akbar Bhayu Tamtomo

Musik: Body of Water - TrackTribe

#cekfakta #hoaks #debunking #cekfaktakompascom #israel #palestine #iran #f35 #pesawattempur #jernihmelihatdunia #jernihmemilih

Artikel terkait: https://www.kompas.com/cekfakta/read/2024/04/22/163500482/-hoaks-video-sistem-pertahanan-iran-jatuhkan-pesawat-f-35-israel",kompas,politik
"Pada Selasa (16/4/2024) Pemimpin Korea Utara, Kim Jong Un, merilis sebuah lagu yang berjudul Friendly Father. Lagu tersebut perdana dinyanyikan pada saat perayaan pembukaan pembangunan 10.000 rumah baru di sebuah distrik di Ibu Kota Pyongyang.

Kreatif: Frisca Arindah

Produser: Nibras Nada Nailufar",kompas,politik
